sigma,sigma_std,synthetic_k,a_param,b_param,AA_type,analysis_k,rep,loss,NMI,MCC,BDM,Est. sigma
-3.68,0,5,2,10,CAA_,5,0,33175.184,0.551021781700868,0.922827949582972,,
-3.68,0,5,2,10,CAA_,5,1,33491.418,0.544479836774712,0.870221685112395,,
-3.68,0,5,2,10,CAA_,5,2,33476.496,0.534918300166566,0.911848019355755,,
-3.68,0,5,2,10,CAA_,5,3,33687.836,0.53068457512503,0.924043936421645,,
-3.68,0,5,2,10,CAA_,5,4,34088.94,0.514183277709448,0.887771003524495,,
-3.68,0,5,2,10,CAA_,5,5,33569.82,0.531081169511437,0.946450202840981,,
-3.68,0,5,2,10,CAA_,5,6,33291.633,0.545858693860137,0.909290514770954,,
-3.68,0,5,2,10,CAA_,5,7,34597.816,0.526484451302249,0.845941125902075,,
-3.68,0,5,2,10,CAA_,5,8,33805.84,0.539872799592824,0.898820094152897,,
-3.68,0,5,2,10,CAA_,5,9,33897.816,0.52901736001041,0.92575963375556,,
-3.68,0,5,2,10,OAA_hotstart,5,0,103130.516,0.579659653737789,0.927888656462988,0.009077652254132,0.04664188
-3.68,0,5,2,10,OAA_hotstart,5,1,103130.516,0.579659653737789,0.927888656462988,0.009077652254132,0.04664188
-3.68,0,5,2,10,OAA_hotstart,5,2,103130.516,0.579659653737789,0.927888656462988,0.009077652254132,0.04664188
-3.68,0,5,2,10,OAA_hotstart,5,3,103130.516,0.579659653737789,0.927888656462988,0.009077652254132,0.04664188
-3.68,0,5,2,10,OAA_hotstart,5,4,103130.516,0.579659653737789,0.927888656462988,0.009077652254132,0.04664188
-3.68,0,5,2,10,OAA_hotstart,5,5,103130.516,0.579659653737789,0.927888656462988,0.009077652254132,0.04664188
-3.68,0,5,2,10,OAA_hotstart,5,6,103130.516,0.579659653737789,0.927888656462988,0.009077652254132,0.04664188
-3.68,0,5,2,10,OAA_hotstart,5,7,103130.516,0.579659653737789,0.927888656462988,0.009077652254132,0.04664188
-3.68,0,5,2,10,OAA_hotstart,5,8,102960.664,0.579821744799953,0.926086328191045,0.007423255269869,0.046078753
